record_id,title,pages,authors,doi_confirmed_in_pdf,zenodo_record,html,text,data,characters_extracted,words_extracted,source_pdf_filename,source_pdf_sha256,visual_pages,low_text_pages
22700782,Beyond Abundance: The Ambient Era and the Economics of Affordable Variation,15,Raynor Eissens,10.5281/zenodo.22700782,https://zenodo.org/records/22700782,papers/22700782.html,text/22700782.txt,data/22700782.json,37807,5242,22700782_Beyond_Abundance_Ambient_Era_Affordable_Variation_v1.0_DOI.pdf,649014f74bd6c1e9476409c6b77978bdd3744da4756b685b2a39bdc047152bc5,9,
22215393,"Capability Acceleration, Civilizational Viability, and Power Architecture: A Three-Axis Model for AI-Driven Civilizational Transition",11,Raynor Eissens,10.5281/zenodo.22215393,https://zenodo.org/records/22215393,papers/22215393.html,text/22215393.txt,data/22215393.json,31451,4121,22215393_Capability_Acceleration_Civilizational_Viability_Power_Architecture_DOI_10.5281_zenodo.22215393.pdf,30aade961f3db8c14e8e0fc8191e96cb0d23d4562f44bd44c531477f9035f64f,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",
22142660,"Sustained General-Purpose Chat-Native Software Development: History, Taxonomy, Prevalence, Documentation Scarcity, and the Artifact Accumulation Loop",22,Raynor Eissens,,https://zenodo.org/records/22142660,papers/22142660.html,text/22142660.txt,data/22142660.json,74860,10491,22142660_Sustained_General-Purpose_Chat-Native_Software_Development_v1.1_Zenodo.pdf,e44a845cd2de65894ba3669571f146e0e7e8024ea1e56cdd1774cf283db41924,"4, 6, 7, 9, 10, 11, 13, 15, 17, 18, 19, 21, 22",
21292599,The AI Era RTS From Tiberium to Slop A Resource Theory for Real-Time Strategy Games in the Generative Era,18,Raynor Eissens,10.5281/zenodo.21292599,https://zenodo.org/records/21292599,papers/21292599.html,text/21292599.txt,data/21292599.json,41555,5752,21292599_The_AI_Era_RTS_From_Tiberium_to_Slop_A_Resource_Theory_for_Real_Time_Strategy_Games_in_the_Generative_Era_v1_0.pdf,bd0fde691d07ce913bb6f8e2814c021d6b0f6539f1967a4a3952295005874e56,"8, 9, 10",
21226168,"Three Ages of Digital Culture — From Mechanical Reproduction to Generative Abundance - AI Slop as Digital Resource, Playable Material, and Gameplay Motor",10,Raynor Eissens,10.5281/zenodo.21226168,https://zenodo.org/records/21226168,papers/21226168.html,text/21226168.txt,data/21226168.json,31834,4641,21226168_Three_Ages_of_Digital_Culture_Generative_Abundance_Eissens_2026.pdf,1991b819c90e630b2ce83adaaf791675e92730cbd51d80eed6a21c9d0afd1594,8,
21094390,Attention Reversal and the Shift from Screen Work to Ambient Guidance,10,Raynor Eissens,10.5281/zenodo.21094390,https://zenodo.org/records/21094390,papers/21094390.html,text/21094390.txt,data/21094390.json,30496,4294,21094390_Attention Reversal and the Shift from Screen Work to Ambient Guidance.pdf,82f6b3741764889f8cd42c774548da6cd03d93f1fd3d5c2c2c2c0dd69a23c8ad,4,
20861928,"StateLens for Situational Intelligence: State-First, URL-Native Signal Grammar for Situation-Aware Assistance",25,Raynor Eissens,10.5281/zenodo.20861928,https://zenodo.org/records/20861928,papers/20861928.html,text/20861928.txt,data/20861928.json,57262,7846,20861928_Eissens_2026_StateLens_for_Situational_Intelligence_v1.1.pdf,04b724259e076a5479f6eeb5aa84209babc9975fa6950f4ca4c4d4305ffc400a,"1, 8, 9, 10, 14, 15, 17",
20802169,Textual Inflation and Semantic Compression in the LLM Era,18,Raynor Eissens,,https://zenodo.org/records/20802169,papers/20802169.html,text/20802169.txt,data/20802169.json,56298,7650,20802169_Textual_Inflation_and_Semantic_Compression_in_the_LLM_Era.pdf,1b7f7e84d5a79e4961d8c2cef95b0454732ba2ecc3c2176441191719848333b3,11,
20770792,StateLens: A URL-Native AI State Diary Protocol for Multimodal State Compression and Day Reconstruction,9,Raynor Eissens,10.5281/zenodo.20770792,https://zenodo.org/records/20770792,papers/20770792.html,text/20770792.txt,data/20770792.json,23914,3488,20770792_StateLens_URL_Native_AI_State_Diary_Protocol.pdf,5e1cd032874ecc699188b2561f121d75cc1bb0345e4875e0482b278fee34c6bf,"4, 5, 6, 7",
20736718,RC-1 — Reversible Collection: Participation-Based Replayability for Finite Content Libraries,11,Raynor Eissens,10.5281/zenodo.20736718,https://zenodo.org/records/20736718,papers/20736718.html,text/20736718.txt,data/20736718.json,29316,3947,20736718_RC-1_Reversible_Collection_Raynor_Eissens_Zenodo_v1_0.pdf,d50f18355569250f31a910dfe6840f353885f62f53348be2ad8cc8b16be3eef4,7,
